"","[$0,
$157.000]","($157.000,
$200.000]","($200.000,
$210.000]","($210.000,
$230.000]","($230.000,
$270.000]","($270.000,
$300.000]","($300.000,
$400.000]","($400.000,
$500.000]","($500.000,
$750.000]","($750.000,
$25.000.000]","Sum"
"Silvoagropecuario",1809,1736,2287,432,772,682,489,224,157,196,8784
"Pesca",147,144,68,24,64,104,113,62,37,45,808
"Minería",51,98,70,27,138,259,553,502,719,799,3216
"Industria
manufacturera",664,1012,1198,353,861,963,1101,554,466,493,7665
"Serviciosásicos",0,0,0,0,0,0,0,0,0,0,0
"Construcción",461,910,934,292,750,1000,1208,583,492,467,7097
"Comercio",1706,1826,1620,574,1297,1414,1388,716,504,619,11664
"Hoteles
y restaurantes",316,546,526,169,319,266,266,122,96,109,2735
"Transporte
y comunicaciones",298,564,527,187,585,767,1028,569,523,413,5461
"Banca",15,41,37,24,43,77,140,108,130,271,886
"Inmobiliario",121,290,325,143,301,327,491,343,358,827,3526
"Administración
pública",108,254,229,100,214,304,572,424,684,834,3723
"Enseñanza",191,629,466,267,459,432,679,583,914,803,5423
"Salud",106,269,227,159,338,424,638,335,342,678,3516
"Otros",165,241,194,83,161,204,211,123,76,131,1589
"Servicio
doméstico",805,781,465,155,358,263,162,28,22,6,3045
"ONGs",0,5,1,1,2,0,3,0,2,3,17
"NA",9,35,61,29,53,56,92,52,48,75,510
"Sum",6972,9381,9235,3019,6715,7542,9134,5328,5570,6769,69665
