"","[$0,
$157.000]","($157.000,
$200.000]","($200.000,
$210.000]","($210.000,
$230.000]","($230.000,
$270.000]","($270.000,
$300.000]","($300.000,
$400.000]","($400.000,
$500.000]","($500.000,
$750.000]","($750.000,
$25.000.000]","Sum"
"Basica completa",1113,1437,1433,377,823,804,728,275,198,100,7288
"Basica incompleta",1978,1834,1713,424,849,803,600,220,127,80,8628
"Media completa",1890,3488,3583,1320,2830,3163,3872,1985,1652,1061,24844
"Media incompleta",1127,1496,1477,459,1060,1097,1093,487,334,183,8813
"NA",209,144,141,27,59,50,42,16,6,6,700
"Posgrado",22,16,8,4,17,36,73,120,264,1195,1755
"Tecnica superior completa",142,247,238,105,275,353,544,371,399,329,3003
"Tecnica superior incompleta",145,232,247,104,221,297,385,210,204,162,2207
"Universitaria completa",96,93,70,37,94,223,499,677,1234,2348,5371
"Universitaria incompleta",250,394,325,162,487,716,1298,967,1152,1305,7056
"Sum",6972,9381,9235,3019,6715,7542,9134,5328,5570,6769,69665
