"","[$0,
$157.000]","($157.000,
$200.000]","($200.000,
$210.000]","($210.000,
$230.000]","($230.000,
$270.000]","($270.000,
$300.000]","($300.000,
$400.000]","($400.000,
$500.000]","($500.000,
$750.000]","($750.000,
$25.000.000]","Sum"
"Antofagasta",132,195,90,70,202,294,489,310,428,475,2685
"Arica y Parinacota",333,511,236,71,266,314,425,216,249,218,2839
"Atacama",152,248,213,70,208,341,471,324,336,364,2727
"Aysen",168,209,258,80,181,231,259,133,177,278,1974
"Biobio",1220,1500,1146,408,810,831,979,649,613,602,8758
"Coquimbo",296,400,400,198,314,369,425,289,278,271,3240
"La Araucania",858,792,823,175,404,415,473,268,323,326,4857
"Los Lagos",583,668,543,170,402,391,438,209,227,285,3916
"Los Rios",535,631,550,130,323,290,362,201,194,205,3421
"Magallanes",119,178,159,87,201,254,341,230,249,304,2122
"Maule",530,629,1281,213,472,426,465,225,217,259,4717
"Metropolitana",729,1344,1326,522,1390,1768,1997,1149,1038,1826,13089
"OHiggins",517,850,1101,284,575,514,643,349,328,303,5464
"Tarapaca",219,327,162,117,298,400,548,349,431,462,3313
"Valparaiso",581,899,947,424,669,704,819,427,482,591,6543
"Sum",6972,9381,9235,3019,6715,7542,9134,5328,5570,6769,69665
